ParticleFlux,MagnitudeofEnergyFlux,EnergyFluxX,EnergyFluxY,TimeStep
100,4.61442,3.49103,3.01755,1
100,4.75098,3.48951,3.22414,2
100,4.67701,3.52843,3.06995,3
100,4.6667,3.62887,2.93417,4
100,4.58864,3.42353,3.05532,5
100,4.48788,3.32917,3.00959,6
100,4.6746,3.54356,3.04878,7
100,4.36342,3.22284,2.94156,8
100,4.50055,3.48109,2.85254,9
100,4.54488,3.30474,3.12003,10
100,4.41718,3.21486,3.02922,11
100,4.34134,3.24612,2.8827,12
100,4.32398,3.10656,3.00767,13
100,4.33837,3.08441,3.05089,14
100,4.65193,3.45957,3.10995,15
100,4.62502,3.33634,3.20308,16
100,4.52643,3.37604,3.01512,17
100,4.8806,3.57673,3.32074,18
100,4.80531,3.59393,3.18978,19
100,5.09665,3.74687,3.45496,20
100,4.98541,3.60141,3.44733,21
100,4.88933,3.66847,3.23231,22
100,4.59521,3.36947,3.12452,23
100,4.76105,3.46189,3.26847,24
100,4.3731,3.13031,3.05372,25
100,4.63863,3.14062,3.41371,26
100,4.53708,3.20263,3.21376,27
100,4.44967,3.22932,3.06122,28
100,4.42499,3.12989,3.12799,29
100,4.42336,2.92681,3.3166,30
100,4.49905,3.29112,3.06757,31
100,4.99537,3.27007,3.77629,32
100,4.65477,3.20399,3.37658,33
100,4.33207,3.04424,3.08212,34
100,4.536,3.01598,3.38809,35
100,4.78469,3.08425,3.65795,36
100,4.55253,3.20676,3.23144,37
100,4.64548,3.10402,3.45623,38
100,4.86266,2.99716,3.82917,39
100,4.6289,3.2868,3.25939,40
100,4.55793,3.23085,3.21501,41
100,4.77156,3.14686,3.58679,42
100,4.6535,3.22083,3.35877,43
100,4.91855,3.25764,3.68509,44
100,4.96164,3.29299,3.71135,45
100,4.63963,3.20973,3.3502,46
100,4.7472,3.05044,3.6374,47
100,4.875,3.12902,3.7383,48
100,4.69638,3.26788,3.37297,49
100,4.6479,3.05449,3.5033,50
100,4.88909,3.07671,3.79961,51
100,4.65694,3.22617,3.35841,52
100,4.56052,3.04072,3.39888,53
100,4.88222,3.09474,3.77607,54
100,4.52181,3.29469,3.09706,55
99,4.85725,3.49892,3.36905,56
99,4.64007,3.23451,3.32689,57
99,4.72991,3.56441,3.10918,58
99,4.64727,3.3063,3.2658,59
99,4.47906,3.1079,3.22537,60
99,4.79069,3.54133,3.22641,61
99,4.86711,3.41869,3.46429,62
99,4.90299,3.22641,3.69183,63
99,4.58782,3.24339,3.24477,64
98,4.47443,3.10473,3.22198,65
98,4.41045,2.8521,3.36416,66
98,4.7167,3.37648,3.29342,67
98,4.49131,3.19159,3.16001,68
98,4.87036,3.19661,3.67452,69
98,4.48994,3.16781,3.1819,70
98,4.682,3.31488,3.30646,71
98,4.69361,3.09829,3.5257,72
98,4.58006,3.32758,3.14708,73
98,4.54015,3.30385,3.11408,74
98,4.73699,3.16199,3.52716,75
98,4.56959,3.29798,3.16299,76
98,4.61074,3.24484,3.27566,77
98,4.75626,3.09047,3.61539,78
98,4.59876,3.19381,3.3088,79
98,4.70501,3.18796,3.46035,80
98,4.75114,2.98585,3.69568,81
98,4.59905,3.13618,3.36388,82
98,4.72355,3.18897,3.4846,83
98,4.88734,3.05903,3.81161,84
98,4.70523,3.24678,3.40553,85
98,4.38796,3.06787,3.13725,86
98,4.71221,3.14514,3.50899,87
98,4.77082,3.41086,3.33568,88
98,4.69279,3.34873,3.2876,89
98,4.78843,3.23523,3.53021,90
98,4.73919,3.37976,3.32221,91
