ParticleFlux,MagnitudeofEnergyFlux,EnergyFluxX,EnergyFluxY,TimeStep
100,4.78082,3.50823,3.24785,1
100,4.66728,3.26961,3.33064,2
100,4.28912,2.98891,3.07619,3
100,4.36172,3.29678,2.85585,4
100,4.51796,3.25556,3.13262,5
100,4.45721,2.96116,3.3314,6
100,4.63326,3.39197,3.1562,7
100,4.56421,3.21837,3.23637,8
100,4.24977,3.01121,2.99886,9
100,4.14828,2.99943,2.8656,10
100,4.35654,3.19332,2.96347,11
100,4.50979,3.33484,3.03597,12
100,4.19329,3.13004,2.79043,13
100,4.21988,2.86852,3.09499,14
100,4.15538,2.96722,2.90909,15
100,4.46219,3.10702,3.20274,16
100,4.27182,2.96846,3.07192,17
100,4.11159,2.9306,2.88388,18
100,4.32244,3.03963,3.07313,19
100,4.44944,3.21464,3.0763,20
100,4.2568,2.93771,3.08061,21
100,4.02132,2.77599,2.90945,22
100,4.16876,2.92218,2.97311,23
100,4.18571,2.8504,3.06519,24
100,3.98229,2.75762,2.873,25
100,4.20514,2.90668,3.03882,26
100,4.04482,2.70996,3.00279,27
100,3.95644,2.72035,2.87283,28
100,3.95738,2.76752,2.82872,29
100,4.10595,2.82856,2.97626,30
100,4.09085,2.70092,3.07247,31
100,4.11936,2.85485,2.96967,32
100,3.88676,2.57186,2.91418,33
100,4.06146,2.78961,2.95187,34
100,3.99767,2.68751,2.95951,35
100,3.93237,2.73931,2.8213,36
100,4.1133,2.9625,2.85356,37
100,3.7534,2.63996,2.66807,38
100,3.96378,2.7961,2.80952,39
100,3.90501,2.76341,2.7591,40
100,3.87619,2.85028,2.62693,41
100,4.056,2.99366,2.73662,42
100,3.99024,2.91511,2.72473,43
100,4.12865,3.06766,2.76319,44
100,4.09445,3.06366,2.71634,45
100,3.99795,3.04646,2.58896,46
100,4.0579,3.00403,2.72808,47
100,4.13058,3.10939,2.71907,48
100,4.00712,2.98637,2.67181,49
100,3.98943,2.93978,2.6969,50
100,4.21365,3.18723,2.75615,51
100,4.07736,2.88814,2.8781,52
100,3.61005,2.58268,2.52234,53
100,3.90449,2.79109,2.73036,54
100,3.98433,2.73607,2.89634,55
100,3.64373,2.45745,2.6903,56
100,3.71389,2.72791,2.52022,57
100,3.85428,2.73668,2.71406,58
100,3.63143,2.61775,2.51688,59
100,3.49785,2.49479,2.45173,60
100,3.71201,2.54677,2.70055,61
100,3.61812,2.52232,2.59398,62
100,3.61915,2.50519,2.61195,63
100,3.78654,2.5315,2.81592,64
100,3.59988,2.60903,2.48033,65
100,3.65812,2.52043,2.65129,66
100,3.60853,2.49984,2.60236,67
100,3.59279,2.35075,2.71701,68
100,3.7836,2.62756,2.72241,69
100,3.60368,2.56426,2.53201,70
100,3.54215,2.34158,2.65779,71
100,3.76416,2.62031,2.70238,72
100,3.77664,2.58084,2.75722,73
100,3.43406,2.43362,2.42287,74
100,3.59651,2.36652,2.70822,75
100,3.71761,2.5851,2.67168,76
100,3.7502,2.67245,2.63098,77
100,3.90809,2.55938,2.95343,78
100,3.7056,2.5699,2.66965,79
100,3.77376,2.24513,3.03326,80
100,3.67922,2.30273,2.86951,81
100,3.72627,2.60177,2.66756,82
100,3.55426,2.33501,2.67964,83
100,3.62502,2.46959,2.65366,84
100,3.58853,2.5832,2.4909,85
100,3.70984,2.48315,2.75623,86
100,3.85467,2.47915,2.95167,87
100,3.75032,2.6164,2.68688,88
100,3.85878,2.60327,2.84836,89
100,3.81605,2.49281,2.88932,90
100,3.67519,2.43111,2.75622,91
100,3.89673,2.52953,2.96412,92
100,3.8728,2.43234,3.01368,93
100,3.72461,2.4894,2.77049,94
100,3.83438,2.45858,2.94242,95
100,3.68042,2.30702,2.8676,96
100,3.96276,2.54749,3.03541,97
100,3.85102,2.54611,2.88923,98
100,3.82743,2.40114,2.98056,99
100,3.90576,2.6316,2.88611,100
100,3.82841,2.47746,2.91872,101
100,3.94516,2.49882,3.0529,102
100,3.78047,2.25112,3.03717,103
100,3.77459,2.35549,2.94945,104
100,3.72892,2.43678,2.82258,105
100,3.70099,2.31793,2.88522,106
100,3.7129,2.35311,2.87202,107
100,3.6738,2.33417,2.83699,108
100,3.62521,2.26165,2.83321,109
100,3.77818,2.46155,2.86626,110
100,3.73274,2.36997,2.88385,111
100,3.72784,2.27397,2.95396,112
100,3.68831,2.2792,2.89981,113
100,3.60494,2.32512,2.75489,114
100,3.57084,2.24638,2.77572,115
100,3.65634,2.26754,2.86829,116
100,3.59728,2.31804,2.75083,117
100,3.57817,2.34397,2.70353,118
100,3.65163,2.44076,2.71609,119
100,3.55227,2.27135,2.73122,120
100,3.68308,2.16001,2.98318,121
100,3.54498,2.19896,2.78054,122
100,3.5425,2.11634,2.84085,123
100,3.61924,2.24141,2.84165,124
100,3.59437,2.25054,2.8026,125
100,3.57539,2.17984,2.83403,126
100,3.51007,2.03959,2.85669,127
100,3.47651,2.11674,2.7578,128
100,3.41834,2.00995,2.76498,129
100,3.55806,2.08135,2.88578,130
100,3.47539,2.09721,2.77129,131
100,3.4999,2.15786,2.75553,132
100,3.52213,2.06795,2.85114,133
100,3.62352,2.07702,2.96915,134
100,3.52026,2.12524,2.80635,135
100,3.49106,2.17274,2.73253,136
100,3.53658,2.04736,2.8837,137
100,3.50176,2.05608,2.83458,138
100,3.44869,2.16995,2.68045,139
100,3.57821,2.17025,2.84492,140
100,3.52807,2.15529,2.7932,141
100,3.48981,2.17627,2.72812,142
100,3.56741,2.05496,2.91608,143
100,3.559,2.13428,2.84804,144
100,3.50385,2.18242,2.74117,145
100,3.56008,2.07339,2.894,146
100,3.54962,2.18186,2.79987,147
100,3.21719,1.97187,2.54205,148
100,3.42074,2.05564,2.73419,149
100,3.2889,1.94765,2.65019,150
100,3.31235,2.0839,2.57469,151
100,3.27133,2.11279,2.49755,152
100,3.34198,2.14179,2.56546,153
100,3.09807,1.98399,2.37947,154
100,3.32817,2.10159,2.5807,155
100,3.23897,1.95155,2.58504,156
100,3.16315,2.02083,2.43347,157
100,3.27278,2.08382,2.52364,158
100,3.29395,2.05482,2.57446,159
100,3.18233,2.07864,2.40966,160
100,3.34246,2.17888,2.53466,161
100,3.29042,2.00388,2.60986,162
100,3.2521,2.06236,2.51453,163
100,3.25471,1.99345,2.5728,164
100,3.25364,1.99293,2.57184,165
100,3.26342,2.08395,2.51138,166
100,3.28176,2.04447,2.56711,167
100,3.13928,1.94049,2.46771,168
100,3.09911,1.98649,2.37872,169
100,3.22486,1.93631,2.57884,170
100,3.19439,1.9429,2.53559,171
100,3.22681,2.04372,2.4971,172
100,3.1523,1.96803,2.46249,173
100,3.22397,2.01011,2.5206,174
100,3.11895,1.9531,2.43172,175
100,3.19255,1.99745,2.49049,176
100,3.16724,2.01318,2.4451,177
100,3.07857,1.9501,2.38217,178
100,3.2213,2.02169,2.50789,179
100,3.26946,2.05533,2.54263,180
100,3.23119,2.10319,2.453,181
100,3.2187,2.09315,2.44515,182
100,3.27967,2.14044,2.4849,183
100,3.40516,2.28261,2.52682,184
100,3.34891,2.20958,2.51654,185
100,3.31053,2.19295,2.48004,186
100,3.19951,2.11402,2.40163,187
100,3.21802,2.15428,2.39055,188
100,3.17768,2.19655,2.29627,189
100,3.2684,2.20139,2.41584,190
100,3.16431,2.11514,2.35352,191
100,3.18318,2.15054,2.34688,192
100,3.13225,2.12077,2.30506,193
100,3.21905,2.08396,2.45344,194
100,3.23753,2.2584,2.31975,195
100,3.19839,2.16158,2.35738,196
100,3.18451,2.14332,2.35526,197
100,3.27831,2.35292,2.28278,198
100,3.19232,2.19518,2.31777,199
100,3.15506,2.05226,2.39638,200
100,3.29161,2.40479,2.2476,201
100,2.95107,2.04695,2.12575,202
100,3.19865,2.05327,2.45264,203
100,3.27318,2.42996,2.19294,204
100,3.05548,2.24362,2.07416,205
100,3.02875,2.26743,2.00801,206
100,3.19439,2.2363,2.28103,207
100,2.99402,2.19528,2.0359,208
100,3.17144,2.22901,2.25601,209
100,3.08551,2.2431,2.1187,210
100,3.11655,2.11984,2.28455,211
100,3.08689,2.01845,2.33554,212
100,3.2116,2.12491,2.40813,213
100,2.99894,1.99371,2.24026,214
100,3.01556,1.98786,2.2676,215
100,3.117,2.09262,2.31011,216
100,2.98536,1.98069,2.23366,217
100,3.00858,1.90761,2.3265,218
100,3.05236,2.06033,2.2521,219
100,2.86195,1.95547,2.08971,220
100,2.92225,1.94756,2.17866,221
100,3.13404,2.17981,2.25181,222
100,3.07539,2.12504,2.22311,223
100,3.0319,2.04797,2.23567,224
100,3.20875,2.32769,2.2086,225
100,3.00227,2.05342,2.19022,226
100,3.07541,2.07194,2.27271,227
100,3.18367,2.24378,2.25858,228
100,2.99714,2.04512,2.19097,229
100,2.90659,1.88777,2.21011,230
100,2.91291,1.98451,2.13232,231
100,3.00353,1.93188,2.29979,232
100,3.08816,2.01433,2.34077,233
100,3.03759,2.02426,2.26479,234
100,3.07047,1.92015,2.396,235
100,3.17715,2.02405,2.44899,236
100,3.10805,2.01782,2.36397,237
100,3.10517,1.97872,2.39307,238
100,3.13188,2.06527,2.35442,239
100,2.96589,1.88293,2.29153,240
100,3.06838,1.99507,2.33124,241
100,3.12559,2.046,2.36289,242
100,3.05095,1.97049,2.32926,243
100,3.0692,1.98434,2.34144,244
100,3.08228,2.05951,2.29323,245
100,2.96217,2.01461,2.17158,246
100,2.99603,2.07211,2.16392,247
100,3.00972,2.06368,2.1908,248
100,2.98887,2.0481,2.17685,249
100,3.03289,2.03792,2.24618,250
100,2.98325,2.02675,2.18907,251
100,2.97494,2.01678,2.18698,252
100,2.92763,1.86788,2.25434,253
100,2.95136,1.93124,2.23179,254
100,2.85969,1.8201,2.20568,255
100,2.98821,2.017,2.20479,256
100,3.00549,2.03603,2.21077,257
100,2.95684,1.94505,2.22703,258
100,2.83655,1.91117,2.09605,259
100,2.95269,1.90671,2.25452,260
100,2.9088,1.87685,2.22228,261
100,2.99053,1.99291,2.2297,262
100,2.92468,1.86665,2.25152,263
100,2.90092,1.88148,2.20803,264
100,3.03961,1.94293,2.33758,265
100,3.04703,1.89072,2.38948,266
100,3.13553,1.956,2.45063,267
100,3.04262,1.81366,2.44299,268
100,3.04123,1.95781,2.32724,269
100,3.14077,2.02136,2.40387,270
100,3.01369,1.89568,2.34281,271
100,2.91832,1.89738,2.21733,272
100,2.92141,1.78325,2.31402,273
100,2.82388,1.69265,2.26037,274
100,2.88653,1.84785,2.21755,275
100,2.84662,1.77475,2.22565,276
100,2.9117,1.86435,2.23655,277
100,2.9204,1.78937,2.30801,278
100,2.8482,1.81847,2.19212,279
100,2.93363,1.83201,2.29127,280
100,3.03559,1.84797,2.40828,281
100,2.96101,1.96208,2.21761,282
100,2.76724,1.65417,2.21841,283
100,2.98343,1.78182,2.3929,284
100,3.04871,1.93588,2.35521,285
100,2.89512,1.7496,2.30665,286
100,2.90245,1.84394,2.24145,287
100,2.85379,1.72567,2.27292,288
100,2.92062,1.90056,2.21764,289
100,3.05346,1.94405,2.35464,290
100,3.04087,1.92703,2.35233,291
100,3.0163,2.06147,2.20191,292
100,2.74241,1.7295,2.1283,293
100,2.92534,1.82494,2.28631,294
100,2.91908,1.96231,2.1611,295
100,2.78177,1.79039,2.12902,296
100,2.93933,1.84896,2.28496,297
100,2.87236,1.7215,2.29933,298
100,2.80847,1.8682,2.09699,299
100,2.82849,1.78842,2.19132,300
100,2.81062,1.61829,2.29798,301
100,2.91094,1.756,2.32165,302
100,2.87186,1.81103,2.22884,303
100,2.80643,1.6797,2.24826,304
100,2.86808,1.82549,2.21211,305
100,2.80491,1.68638,2.24134,306
100,2.81261,1.74203,2.20819,307
100,2.87402,1.79301,2.24613,308
100,2.74503,1.68492,2.16708,309
100,2.54315,1.6586,1.92787,310
100,2.71784,1.61775,2.18392,311
100,2.55803,1.58921,2.00447,312
100,2.63707,1.7025,2.01386,313
100,2.5863,1.65288,1.98921,314
100,2.68175,1.68884,2.08317,315
100,2.62577,1.50436,2.1521,316
100,2.56684,1.64171,1.97319,317
100,2.4394,1.57708,1.86105,318
100,2.52385,1.55002,1.99181,319
100,2.52437,1.65045,1.91009,320
100,2.34481,1.46741,1.82889,321
100,2.5002,1.54962,1.96206,322
100,2.55324,1.66161,1.93858,323
100,2.31378,1.53091,1.73491,324
100,2.62206,1.68177,2.01168,325
100,2.49097,1.46205,2.01676,326
100,2.21488,1.42907,1.69218,327
100,2.3452,1.48447,1.81557,328
100,2.46838,1.51048,1.95226,329
100,2.24021,1.53294,1.6336,330
100,2.28893,1.31988,1.87006,331
100,2.49072,1.48423,2.00019,332
100,2.2867,1.57871,1.65428,333
100,2.36568,1.48649,1.84032,334
100,2.5271,1.57352,1.97743,335
100,2.40493,1.49727,1.88199,336
100,2.52174,1.58301,1.96297,337
100,2.53423,1.66658,1.90915,338
100,2.66715,1.68946,2.06384,339
100,2.62102,1.6826,2.00962,340
100,2.5114,1.51868,2.00018,341
100,2.66524,1.66595,2.08041,342
100,2.70864,1.75176,2.06593,343
100,2.51987,1.60524,1.94241,344
100,2.82642,1.76243,2.20964,345
100,2.35389,1.47737,1.83253,346
100,2.22253,1.44625,1.6876,347
100,2.52965,1.52659,2.01709,348
100,2.37376,1.56714,1.78293,349
100,2.41881,1.52534,1.87724,350
100,2.64478,1.60724,2.10039,351
100,2.5124,1.63211,1.91006,352
100,2.3491,1.4474,1.85021,353
100,2.53359,1.55948,1.99678,354
100,2.39321,1.52011,1.84844,355
100,2.50303,1.55584,1.96074,356
100,2.47538,1.54674,1.93264,357
100,2.44631,1.54735,1.89477,358
100,2.48337,1.56333,1.92953,359
100,2.49911,1.54538,1.96401,360
100,2.52868,1.57468,1.97853,361
100,2.48496,1.52508,1.96193,362
100,2.59824,1.574,2.06722,363
100,2.35498,1.46028,1.84757,364
100,2.50484,1.5395,1.9759,365
100,2.30836,1.48865,1.76422,366
100,2.35912,1.51383,1.80935,367
100,2.38638,1.48128,1.87099,368
100,2.38828,1.50697,1.85282,369
100,2.37169,1.51669,1.82334,370
100,2.37445,1.4708,1.86407,371
100,2.36827,1.48553,1.84443,372
100,2.3862,1.53197,1.82949,373
100,2.45245,1.51602,1.92775,374
100,2.42698,1.53783,1.87758,375
100,2.24089,1.44884,1.70952,376
100,2.30314,1.42741,1.80747,377
100,2.24861,1.42549,1.73903,378
100,2.24806,1.4551,1.7136,379
100,2.29582,1.51656,1.72361,380
100,2.23116,1.50256,1.64936,381
100,2.2673,1.54773,1.65685,382
100,2.41508,1.60451,1.80504,383
100,2.35921,1.51616,1.80752,384
100,2.37421,1.53675,1.80977,385
100,2.28174,1.41341,1.79126,386
100,2.29127,1.41909,1.79892,387
100,2.36432,1.47508,1.84774,388
100,2.28573,1.41163,1.79774,389
100,2.28629,1.43431,1.78042,390
100,2.35127,1.48345,1.82423,391
100,2.20538,1.33142,1.75813,392
100,2.18848,1.38766,1.69229,393
100,2.09369,1.36708,1.58576,394
100,2.17765,1.45224,1.6227,395
100,2.21662,1.44312,1.6825,396
100,2.15601,1.4003,1.63937,397
100,2.1641,1.38869,1.65979,398
100,2.24414,1.49964,1.6695,399
100,2.07551,1.38248,1.54806,400
100,2.19613,1.42007,1.67523,401
100,2.3458,1.47558,1.82358,402
100,2.17497,1.46109,1.61112,403
100,2.18611,1.41404,1.6672,404
100,2.28787,1.43632,1.78083,405
100,2.19693,1.4296,1.66815,406
100,2.26343,1.42622,1.75755,407
100,2.22133,1.44509,1.68701,408
100,2.09384,1.35951,1.59245,409
100,2.18329,1.37283,1.69767,410
100,2.22835,1.40776,1.72736,411
100,2.16827,1.40763,1.64923,412
100,2.13993,1.4827,1.54302,413
100,2.06503,1.34603,1.56607,414
100,2.01931,1.32584,1.52308,415
100,2.13078,1.34499,1.65264,416
100,2.1781,1.39125,1.67587,417
100,2.01689,1.2922,1.54857,418
100,2.10405,1.40631,1.56503,419
100,2.35295,1.52521,1.79167,420
100,2.00309,1.34411,1.48518,421
100,2.19041,1.49522,1.60069,422
100,2.24649,1.36516,1.78411,423
100,1.88565,1.23471,1.42519,424
100,1.99487,1.26403,1.54329,425
100,2.10973,1.33549,1.63324,426
100,1.82471,1.22782,1.34982,427
100,1.98481,1.29289,1.50596,428
100,1.98613,1.29436,1.50643,429
100,1.95989,1.28725,1.47789,430
100,2.01653,1.37164,1.47818,431
100,2.06347,1.42742,1.4901,432
100,2.02942,1.35874,1.50744,433
100,2.11305,1.4584,1.52907,434
100,1.97127,1.28349,1.49618,435
100,1.97326,1.36113,1.42867,436
100,2.03257,1.4456,1.42883,437
100,1.9519,1.29637,1.45923,438
100,2.05072,1.34031,1.5521,439
100,2.00178,1.40613,1.42475,440
100,2.15245,1.35713,1.67071,441
100,1.90156,1.2223,1.45667,442
100,2.22016,1.49677,1.63975,443
100,2.05157,1.39954,1.50007,444
100,2.0398,1.40704,1.47683,445
100,2.02714,1.46184,1.4044,446
100,2.0296,1.2245,1.6186,447
100,2.02856,1.3592,1.50586,448
100,2.10325,1.42363,1.54821,449
