ParticleFlux,MagnitudeofEnergyFlux,EnergyFluxX,EnergyFluxY,TimeStep
100,4.67061,2.99942,3.58023,1
100,4.52841,2.97217,3.41653,2
100,4.34076,2.72283,3.38059,3
100,4.47233,2.89239,3.41114,4
100,4.37159,2.81133,3.34772,5
100,4.49226,2.88965,3.43953,6
100,4.58155,3.06078,3.40914,7
100,4.6966,3.04849,3.57278,8
100,4.84046,3.12708,3.69479,9
100,4.71877,3.23211,3.43806,10
100,4.54543,3.11843,3.30701,11
100,4.72655,3.19228,3.48564,12
100,4.79678,3.21159,3.56298,13
100,4.60029,3.13167,3.36977,14
100,4.88154,3.21699,3.67157,15
100,4.97874,3.3155,3.7142,16
100,4.81753,3.19472,3.60587,17
100,4.92207,3.29182,3.65933,18
100,5.16815,3.45951,3.83947,19
100,4.84656,3.26109,3.58531,20
100,4.94177,3.28655,3.69049,21
100,5.03642,3.38228,3.73171,22
100,4.88648,3.32391,3.58181,23
100,5.01135,3.38051,3.69943,24
100,4.95293,3.34066,3.6567,25
100,4.78224,3.26973,3.48979,26
100,4.88944,3.30668,3.60173,27
100,5.12127,3.41002,3.82088,28
100,4.93809,3.30786,3.66645,29
100,4.88681,3.30107,3.60331,30
100,5.04063,3.30929,3.80217,31
100,4.95552,3.25118,3.73992,32
100,4.92939,3.32904,3.63544,33
100,5.07944,3.25899,3.89611,34
100,4.85279,3.2167,3.63351,35
100,4.9661,3.21033,3.78892,36
100,4.93393,3.11044,3.82999,37
100,5.02122,3.27747,3.80406,38
100,4.70952,3.11092,3.53578,39
100,5.07165,3.17529,3.95464,40
100,5.06889,3.40154,3.75808,41
100,5.05786,3.28346,3.84719,42
100,5.09199,3.15586,3.99612,43
100,5.22308,3.57869,3.80441,44
100,5.35426,3.53911,4.01781,45
100,5.38891,3.37704,4.19952,46
100,5.4488,3.56296,4.12246,47
100,5.4041,3.58639,4.04254,48
100,5.53173,3.60143,4.19878,49
100,5.09223,3.30091,3.87748,50
100,5.44124,3.49976,4.16639,51
100,5.03788,3.15258,3.92956,52
100,5.32272,3.45712,4.04719,53
100,5.33183,3.27828,4.20491,54
100,5.06041,3.15697,3.95491,55
100,5.29441,3.53199,3.94409,56
100,5.35973,3.54064,4.02375,57
