ParticleFlux,MagnitudeofEnergyFlux,EnergyFluxX,EnergyFluxY,TimeStep
100,4.15462,3.08208,2.78597,1
100,4.3575,3.38455,2.74457,2
100,4.46719,3.44537,2.84346,3
100,4.43369,3.40883,2.83505,4
100,4.54317,3.57386,2.80497,5
100,4.42141,3.44814,2.76752,6
100,4.56901,3.47544,2.96599,7
100,4.66587,3.58647,2.98455,8
100,4.29423,3.34166,2.69698,9
100,4.78063,3.54355,3.209,10
100,4.50613,3.49251,2.84738,11
100,4.40829,3.23385,2.99587,12
100,4.68109,3.58583,3.00906,13
100,4.53213,3.37452,3.02536,14
100,4.45861,3.32917,2.96578,15
100,4.68598,3.50498,3.11022,16
100,4.47196,3.40297,2.90142,17
100,4.55377,3.42755,2.99811,18
100,4.55848,3.49702,2.92414,19
100,4.38514,3.28504,2.90483,20
100,4.50006,3.42119,2.92335,21
100,4.47089,3.42553,2.87308,22
100,4.24235,3.01865,2.98081,23
100,4.58642,3.31633,3.16815,24
100,4.69092,3.52412,3.09601,25
100,4.31294,3.23999,2.84673,26
100,4.5629,3.44708,2.9896,27
100,4.54022,3.49845,2.89386,28
100,4.43273,3.30303,2.95619,29
100,4.64358,3.49608,3.05619,30
100,4.76069,3.63541,3.07375,31
100,4.29938,3.20461,2.86621,32
100,4.39967,3.38937,2.80521,33
100,4.62718,3.43564,3.09954,34
100,4.53272,3.55912,2.80681,35
100,4.38493,3.40351,2.76473,36
100,4.69795,3.61968,2.99476,37
100,4.35351,3.31901,2.81732,38
100,4.47671,3.353,2.9662,39
100,4.58804,3.44404,3.03129,40
100,4.31239,3.25581,2.8278,41
100,4.32993,3.18915,2.92876,42
100,4.52636,3.49736,2.87339,43
100,4.31994,3.17622,2.92805,44
100,4.47976,3.44083,2.86862,45
100,4.56132,3.40447,3.03566,46
100,4.33659,3.27061,2.84766,47
100,4.58044,3.43442,3.03071,48
100,4.51931,3.38646,2.99267,49
100,4.34501,3.2672,2.86435,50
100,4.6148,3.59506,2.89343,51
100,4.55509,3.46604,2.95557,52
100,4.29073,3.22482,2.83035,53
100,4.4469,3.51068,2.72947,54
100,4.56272,3.46255,2.9714,55
100,4.15893,3.01728,2.8623,56
100,4.26949,3.25682,2.76073,57
100,4.52986,3.49529,2.88142,58
100,4.14249,3.25701,2.5597,59
100,4.34528,3.32899,2.79272,60
100,4.5744,3.4612,2.99087,61
100,4.09937,3.10324,2.67857,62
